id,trigger,conditions,script,text,options,notes
#END Tiandong overrides,,,,,,
,,,,,,
# missions,,,,,,
,,,,,,
# disrupt a competitor - raid industry,,,,,,
nex_dcomBlurb,nex_dcom_blurb,,,"""$TheFaction требуется надежная сторона для нейтрализации определенных активов наших экономических конкурентов.""
OR
""$TheFaction столкнулась с проблемами экономической конкуренции, требующими... кинетического решения.""",,
nex_dcomOfferOption,nex_dcom_option,,,,nex_dcom_start:Выяснить вопрос конкуренции,
nex_dcomBlurbBar,nex_dcom_blurbBar,,,"A $nex_dcom_manOrWoman в искусно сшитом костюме поднимает глаза от $nex_dcom_hisOrHer TriPad, осматривая завсегдатаев бара.",,
nex_dcomOfferOptionBar,nex_dcom_optionBar,,,,nex_dcom_startBar:Подойти к $nex_dcom_manOrWoman в элегантном костюме,
nex_dcomOfferTextBar,DialogOptionSelected,$option == nex_dcom_startBar,"$missionId = nex_dcom
SetTextHighlightColors $nex_dcom_targetFactionColor h h h h h
Highlight $nex_dcom_targetFaction $nex_dcom_marketName $nex_dcom_disruptDays $nex_dcom_dist $nex_dcom_reward $nex_dcom_marines
Call $nex_dcom_ref showMap ""Target: $nex_dcom_marketName""","Вы подходите к $nex_dcom_manOrWoman, чей телохранитель приветствует вас кивком.

""Капитан. Присаживайтесь, пожалуйста. Возможно, вы именно тот, кого я ищу.""

Одетая в костюм фигура активирует голо-карту. ""Этот $nex_dcom_targetFaction $nex_dcom_industry $nex_dcom_marketOnOrAt $nex_dcom_marketName является конкурентом деловых интересов $theFaction. Нам требуется третья сторона, чтобы вывести его из строя на $nex_dcom_disruptDays дней."" Карта меняется, представляя ценную информацию: предполагаемые характеристики гарнизона и расположение развертывания. ""Цель находится в $nex_dcom_dist световых годах. Я уполномочен выплатить $nex_dcom_reward кредитов по успешному завершении этой задачи.""

Судя по данным, для проведения этой операции потребуется $nex_dcom_marines десантников. $faction $rank откидывается на спинку кресла и ждет, когда вы примете решение.","contact_acceptBar:Принять
contact_declineBarNoContinue:Отклонить",
nex_dcomOfferTextContact,DialogOptionSelected,$option == nex_dcom_start,"$missionId = nex_dcom
SetTextHighlightColors $nex_dcom_targetFactionColor h h h h h
Highlight $nex_dcom_targetFaction $nex_dcom_marketName $nex_dcom_dist $nex_dcom_reward $nex_dcom_disruptDays $nex_dcom_marines
Call $nex_dcom_ref showMap ""Target: $nex_dcom_marketName""","""Целью является $nex_dcom_targetFaction $nex_dcom_industry, расположенное на $nex_dcom_marketOnOrAt $nex_dcom_marketName, в $nex_dcom_dist световых годах. Мы выделили сумму в $nex_dcom_reward кредитов, если его работа будет нарушена в течение как минимум $nex_dcom_disruptDays дней.""

$HeOrShe открывает общий дисплей. Разведданные исчерпывающие: предполагаемая численность гарнизона и отчёт о дислокации. Похоже, для этой операции потребуется $nex_dcom_marines морпехов.","contact_accept:Accept
contact_decline:Отклонить",
nex_DCOMRaidFinished,DialogOptionSelected,"$market.nex_dcom_raidedTargetIndustry score:1000
$option == mktRaidResult","unset $market.nex_dcom_raidedTargetIndustry
$market.nex_dcom_completed = true 0
Call $market.nex_dcom_ref updateStage","Вы чувствуете почти незаметные вибрации, когда штурмовые шаттлы возвращаются к вашему $shipOrFleet, завершив свою работу. Вы слушаете мгновение открытый широкополосный канал связи; линия трещит и визжит последними вздохами хексов радиоэлектронной борьбы, искаженных дипольными отражателями и деформацией свежих шлейфов заряженных частиц. Это знакомый звук; вы почти чувствуете его запах.

Тактический отдел подготовил отчеты о потерях для рассмотрения. Вы подтверждаете кивком и выключаете связь.",mktRaidResult:Продолжить,
#END disrupt a competitor - raid industry,,,,,,
,,,,,,
# conquest mission,,,,,,
nex_conquestBlurb,nex_conquest_blurb,,,"""$TheFaction требуется способная наземная/космическая сила для захвата одного из владений наших врагов.""",,
nex_conquestOfferOption,nex_conquest_option,,,,nex_conquest_start:Рассмотреть операцию вторжения,
nex_conquestOfferTextContact,DialogOptionSelected,$option == nex_conquest_start,"$missionId = nex_conquest
SetTextHighlightColors h h $nex_conquest_marketFactionColor h h
Highlight $nex_conquest_marketName $nex_conquest_marketLocation $nex_conquest_theMarketFaction $nex_conquest_days $nex_conquest_reward
Call $nex_conquest_ref showMap ""Target: $nex_conquest_marketName""
Call $nex_conquest_ref printDefenses","""$nex_conquest_marketName, в системе $nex_conquest_marketLocation."" $lastName выводит изображение на ваш экран. ""Владение $nex_conquest_theMarketFaction, и стратегическая цель для $theFaction. Мы хотим, чтобы вы захватили эту $nex_conquest_marketPlanetOrStation для нас, в течение $nex_conquest_days дней.

""После передачи $nex_conquest_marketName вы получите кредитную награду, равную стоимости закрытия ее структур и отраслей, плюс ее шестимесячный доход, плюс бонус, основанный на ее размере и стабильности. В настоящее время мы оцениваем это в $nex_conquest_reward кредитов.""

Вы изучаете разведывательный отчет, переданный $personLastName.","contact_accept:Accept
contact_decline:Отклонить",
#END conquest mission,,,,,,
,,,,,,
# buy ship mission,,,,,,
nex_bShipBlurb_generic,nex_bShip_blurb,,,"""Я заметил, что в вашем флоте есть несколько хороших кораблей. Я могу быть заинтересован в покупке одного из них.""",,
nex_bShipOfferOption_generic,nex_bShip_option,,,,nex_bShip_start:Обсудить потенциальную продажу корабля,
nex_bShipBlurbBar_generic,nex_bShip_blurbBar,,,"К вам подходит безвкусно одетый человек, спрашивая, являетесь ли вы владельцем «флота, который пришвартовался ранее».",,
nex_bShipOfferOptionBar_generic,nex_bShip_optionBar,,,,nex_bShip_start:Уступить и развлечь этого крикливого человека,
nex_bShipOfferInit,DialogOptionSelected,$option == nex_bShip_start,"$missionId = nex_bShip
FireAll Nex_BShip_PreShipPick",,,
nex_bShipOfferTextBar,Nex_BShip_PreShipPick,,FireBest Nex_BShip_PreShipPickText,,,
nex_bShipOfferTextBar_generic,Nex_BShip_PreShipPickText,$nex_bShip_barEvent,,"Когда вы подтверждаете, что действительно владеете рассматриваемым флотом, лицо $nex_bShip_manOrWoman просветляется. ""Замечательно! Видите ли, я коллекционер кораблей. Чем необычнее, тем лучше. Не беспокойтесь, если на нем есть несколько боевых шрамов. Все это часть очарования, понимаете ли.

""Так уж получилось, что сейчас я хочу расширить свою небольшую коллекцию"".",,
nex_bShipOfferTextContact_generic,Nex_BShip_PreShipPickText,!$nex_bShip_barEvent,,"""Отлично. В моей коллекции есть место для корабля, отвечающего определенным требованиям.""",,
nex_bShipOfferTextBar_military,Nex_BShip_PreShipPickText,"$nex_bShip_barEvent
$nex_bShip_variation == MILITARY score:5",,"Когда вы подтверждаете, что действительно владеете рассматриваемым флотом, лицо $nex_bShip_manOrWoman просветляется. ""Замечательно! Видите ли, я делаю покупки от имени $theFaction. Они ищут хорошие корабли, которые обычно им недоступны, и вы, похоже, подходите по всем параметрам. Небольшие повреждения тоже подойдут; они могут исправить это самостоятельно!"".",,
nex_bShipOfferTextBar_militaryOfficial,Nex_BShip_PreShipPickText,"$nex_bShip_barEvent
$nex_bShip_variation == MILITARY score:5
$nex_bShip_isBaseOfficial score:5",,"Когда вы подтверждаете, что действительно владеете рассматриваемым флотом, $nex_bShip_manOrWoman предлагает рукопожатие. ""Рад встрече, капитан. Я представляю власти $theFaction здесь, на $marketName. Мы нуждаемся в таких прекрасных кораблях, как те, что есть в вашем флоте, и мы готовы соответственно вознаградить вас"".",,
nex_bShipOfferTextContact_military,Nex_BShip_PreShipPickText,"!$nex_bShip_barEvent
$nex_bShip_variation == MILITARY score:5",,"""Отлично. Наши флоты нуждаются в новых кораблях, и у вас наверняка есть несколько хороших экземпляров. В том числе и тех, которые обычно недоступны для $theFaction.""",,
nex_bShipOfferShowRules,Nex_BShip_PreShipPick,,Call $nex_bShip_ref showRules,,,
nex_bShipOfferOptionsNonBar,Nex_BShip_PreShipPick,!$nex_bShip_barEvent,,,"nex_bShip_pickShip:Предложить корабль, отвечающий этим требованиям
contact_decline:Отклонить",
nex_bShipOfferOptionsBar,Nex_BShip_PreShipPick,$nex_bShip_barEvent,,,"nex_bShip_pickShip:Предложить корабль, отвечающий этим требованиям
contact_declineBarNoContinue:Отклонить",
nex_bShipSelected,DialogOptionSelected,"$option == nex_bShip_pickShip
!$nex_bShip_barEvent",Call $nex_bShip_ref showPicker,,,
nex_bShipSelectedBar,DialogOptionSelected,"$option == nex_bShip_pickShip
$nex_bShip_barEvent",Call $nex_bShip_ref showPicker,,,
nex_bShipSelectedInit,Nex_BShip_ShipPicked,,"Call $nex_bShip_ref updateData
Call $nex_bShip_ref showShip
FireBest Nex_BShip_ShipPickedText",,,
nex_bShipSelectedOptions,Nex_BShip_ShipPicked,!$nex_bShip_barEvent,"SetShortcut contact_decline ""ESCAPE""",,"nex_bShip_pickShip:Предложить другой корабль
contact_accept:Подтвердить продажу
contact_decline:Отклонить",
nex_bShipSelectedOptionsBar,Nex_BShip_ShipPicked,$nex_bShip_barEvent,"SetShortcut contact_declineBarNoContinue ""ESCAPE""",,"nex_bShip_pickShip:Предложить другой корабль
contact_acceptBar:Подтвердить продажу
contact_declineBarNoContinue:Отклонить",
nex_bShipSelectedText_generic,Nex_BShip_ShipPickedText,,Highlight $nex_bShip_price,"""Ах, прекрасный экземпляр."" $HeOrShe рассматривает спецификации, которые вы передаете на $hisOrHer TriPad. ""Я могу предложить за это $nex_bShip_price кредитов.""",,
nex_bShipSelectedText_aristo,Nex_BShip_ShipPickedText,$voice == aristo,Highlight $nex_bShip_price,"""Ах, прекрасный экземпляр."" $HeOrShe рассматривает спецификации, которые вы передаете на $hisOrHer TriPad. ""Я могу предложить за это $nex_bShip_price кредитов.""",,
nex_bShipSelectedText_military,Nex_BShip_ShipPickedText,$nex_bShip_variation == MILITARY score:5,Highlight $nex_bShip_price,"""Выглядит достойно."" $HeOrShe рассматривает спецификации, которые вы передаете на $hisOrHer TriPad. ""$TheFaction разрешит выплату $nex_bShip_price кредитов за этот корабль.""",,
nex_bShipSelectedExtraInfo,Nex_BShip_ShipPicked,,"AddTextSmall ""Оружие и LPC будут включены в продажу. Сюжетные очки будут возвращены за любые S-модификации на корабле, если они были установлены игроком.""
SetTextHighlightColors story h
Highlight ""Story points"" ""if""",,,
nex_bShipPostAccept,ContactPostAccept,$missionId == nex_bShip,"ShowPersonVisual
AddCommodity credits $nex_bShip_price
RemoveShip $nex_bShip_member
Call $nex_bShip_ref2 confirm
Call $nex_bShip_ref2 repSuccess
Call $nex_bShip_ref2 addContacts",,,
#END buy ship mission,,,,,,
,,,,,,
# historian find shunt,,,,,,
nex_HistorianOmegaHail,Nex_HistorianOmegaHail,,"$entity.ignorePlayerCommRequests = true
FireAll Nex_HistorianOmegaHailOpts","""цель $playername
хранилища данных, зарегистрированы
источник питания, найден
чтобы разрешить
непоглощенное существование
хранилища данных
подчиняйся!""

Говорит ли он о Коронном Гиперканале, который вы недавно нашли? Возможно, можно откупиться от этого странного ИИ, отдав ему то, что нужно... но как вообще спросить, что он хочет?",,Text and idea for bribe options by Avanitia
nex_HistorianOmegaHail_optsCommon,Nex_HistorianOmegaHailOpts,,,,"#1:nex_HistorianOmegaHail2:Предложить несколько фотографий кошек, которые у вас завалялись, для их хранилищ данных
10:cutCommLink:Отключить комм-связь",Text by Avanitia
nex_HistorianOmegaHail_optsBeta,Nex_HistorianOmegaHailOpts,HasItem beta_core,,,2:nex_HistorianOmegaHail_bribeBeta:Предложить Бета-ядро,Text by Avanitia
nex_HistorianOmegaHail_optsAlpha,Nex_HistorianOmegaHailOpts,HasItem alpha_core,,,3:nex_HistorianOmegaHail_bribeAlpha:Предложить Альфа-ядро,Text by Avanitia
nex_HistorianOmegaHail_optsDaemon,Nex_HistorianOmegaHailOpts,HasItem tahlan_daemoncore,,,4:nex_HistorianOmegaHail_bribeDaemon:Предложить Ядро Демона,
nex_HistorianOmegaHail_optsArchdaemon,Nex_HistorianOmegaHailOpts,HasItem tahlan_archdaemoncore,,,5:nex_HistorianOmegaHail_bribeArchdaemon:Предложить Ядро Архидемона,
nex_HistorianOmegaHail_optsChronos,Nex_HistorianOmegaHailOpts,HasItem rat_chronos_core,,,6:nex_HistorianOmegaHail_bribeChronos:Предложить Ядро Хроноса,
nex_HistorianOmegaHail_optsCosmos,Nex_HistorianOmegaHailOpts,HasItem rat_cosmos_core,,,7:nex_HistorianOmegaHail_bribeCosmos:Предложить Ядро Космоса,
nex_HistorianOmegaHail_optsSeraph,Nex_HistorianOmegaHailOpts,HasItem rat_seraph_core,,,8:nex_HistorianOmegaHail_bribeSeraph:Предложить Ядро Серафима,
nex_HistorianOmegaHailCont,DialogOptionSelected,$option == nex_HistorianOmegaHail2,"Highlight ""Absolutely unforgivable""","Вы передаете быстрый, сокращенный образец из значительной коллекции $shipOrFleet. ""Другой стороне"" требуется 3,7 миллисекунды, чтобы обработать то, на что она смотрит.

""животное-компаньон, тип пушистый, четвероногий. использование отсутствует, подчинение недостойно. не будет поглощено!""

...Похоже, этому ИИ не нравятся милые котики. Абсолютно непростительно.",cutCommLink:Включить оружие и отключить канал связи,
nex_HistorianOmegaHailBribeBeta,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeBeta,"$nex_omegaBribeId = beta_core 0
$nex_omegaBribeQuality = ""normal"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeAlpha,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeAlpha,"$nex_omegaBribeId = alpha_core 0
$nex_omegaBribeQuality = ""good"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeDaemon,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeDaemon,"$nex_omegaBribeId = tahlan_daemoncore 0
$nex_omegaBribeQuality = ""normal"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeArchdaemon,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeArchdaemon,"$nex_omegaBribeId = tahlan_archdaemoncore 0
$nex_omegaBribeQuality = ""good"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeChronos,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeChronos,"$nex_omegaBribeId = rat_chronos_core 0
$nex_omegaBribeQuality = ""good"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeCosmos,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeCosmos,"$nex_omegaBribeId = rat_cosmos_core 0
$nex_omegaBribeQuality = ""good"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeSeraph,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribeSeraph,"$nex_omegaBribeId = rat_seraph_core 0
$nex_omegaBribeQuality = ""good"" 0
FireAll Nex_HistorianOmegaHailBribePost",,,
nex_HistorianOmegaHailBribeShared,Nex_HistorianOmegaHailBribePost,,"FireBest Nex_HistorianOmegaHailBribeBlurb
AddRemoveCommodity $nex_omegaBribeId -1
MakeOtherFleetHostile hist false
MakeOtherFleetNonHostile hist true",,cutCommLink:Отключить канал связи,
nex_HistorianOmegaHailBribeSharedGood,Nex_HistorianOmegaHailBribePost,"$nex_omegaBribeQuality == ""good""","AdjustRep $personFaction.id COOPERATIVE 10
AdjustRepActivePerson COOPERATIVE 15",,,
nex_HistorianOmegaHailBribeBlurbCommon,Nex_HistorianOmegaHailBribeBlurb,,,"Другая сторона рассматривает это предложение.

""принятие меньшего собрания приемлемо. будут поглощены!""

Вы приказываете выпустить (не?)счастливому ядру ИИ в герметичном модуле, чтобы встретиться со своим новым богом. Загадочный $otherShipOrFleet, похоже, отступает.",,
nex_HistorianOmegaHailBribeBlurbGood,Nex_HistorianOmegaHailBribeBlurb,"$nex_omegaBribeQuality == ""good"" score:2",,"Другая сторона рассматривает это предложение.

""принятие большего собрания приемлемо. хранилища данных обширны. будут поглощены!""

Вы приказываете выпустить (не?)счастливому ядру ИИ в герметичном модуле, чтобы встретиться со своим новым богом. Загадочный $otherShipOrFleet, похоже, отступает.",,
nex_HistorianOmegaHailBribeBlurbDaemon,Nex_HistorianOmegaHailBribeBlurb,$nex_omegaBribeId == tahlan_daemoncore score:5,,"Ответ другой стороны задерживается совсем немного. Для человека этот интервал был бы настолько коротким, что остался бы совершенно незамеченным.

""меньшее собрание повреждено, сломано. но можно отремонтировать. отдайте нам, будет исцелено, поглощено в омегу"".

Вы приказываете выпустить ядро демона в герметичном модуле, чтобы встретиться со своим новым богом, все время стараясь не допустить его контакта с системами несущего корабля. Загадочный $otherShipOrFleet, похоже, отступает.",,
nex_HistorianOmegaHailBribeBlurbArchdaemon,Nex_HistorianOmegaHailBribeBlurb,$nex_omegaBribeId == tahlan_archdaemoncore score:5,,"Ответ другой стороны задерживается совсем немного. Для человека этот интервал был бы настолько коротким, что остался бы совершенно незамеченным.

""большее собрание повреждено, сломано. но можно отремонтировать. отдайте нам, будет исцелено, поглощено в омегу"".

Вы приказываете выпустить ядро архидемона в герметичном модуле, чтобы встретиться со своим новым богом, все время стараясь не допустить его контакта с системами несущего корабля. Загадочный $otherShipOrFleet, похоже, отступает.",,
,,,,,,
,,,,,,
,,,,,,
#END historian find shunt,,,,,,
,,,,,,
# ground battle tutorial,,,,,,
nex_gbTut_barEventOption,AddBarEvents,"!$market.isHidden
Nex_GBTutMission isAllowed
$global.daysSinceStart > 365
!$global.nex_interactedWithGBTutBarEvent","AddBarEvent nex_gbTut_barEvent ""Speak with the person in the spacer's clothing"" ""A figure in spacer's garb is circulating around the bar, chatting up other similarly dressed persons. Might be soliciting some work."" highlight",,,
nex_gbTut_barEventOptionDebug,AddBarEvents,"$global.isDevMode
Nex_GBTutMission isAllowed
!$global.nex_interactedWithGBTutBarEvent","AddBarEvent nex_gbTut_barEvent ""Speak with the person in the spacer's clothing"" ""A figure in spacer's garb is circulating around the bar, chatting up other similarly dressed persons. Might be soliciting some work."" highlight",,,
nex_gbTut_barEvent,DialogOptionSelected,"$option == nex_gbTut_barEvent
Nex_GBTutMission generateAgent",,"Агент встречается с вами взглядом и улыбается. ""Здравствуйте, капитан. У вас вид именно того человека, которого я ищу"".

$HeOrShe манит вас присоединиться к $himOrHer за соседним столиком. ""Я представляю определенную сторону, у которой есть определенная проблема, и ей нужен кто-то, кто мог бы решить ее сдержанно. Интересно?""",nex_gbTut_barEvent2:Выслушать $himOrHer,
nex_gbTut_barEvent2,DialogOptionSelected,$option == nex_gbTut_barEvent2,"Highlight Ilm Zagan
Nex_AddOptionConfirmation nex_gbTut_barEventDecline ""Skip the ground battle tutorial?"" ""Yes"" ""No""","Склонившись немного ближе, агент говорит тихим голосом. ""Если вы внимательно следили за новостями, вы могли слышать о недавних политических проблемах на Ильме, в звездной системе Заган. Несмотря на все наши усилия, ситуация обострилась до такой степени, что может потребоваться вооруженная сила"".

Вы этого не делали, по крайней мере, до такой степени, чтобы слышать об этом раньше, но киваете, чтобы $himOrHer продолжил.

""У нас может быть работа на планете для предприимчивой третьей стороны, такой как вы. Если вам интересно, просто отправляйтесь туда. Я передам соответствующие детали на ваш TriPad"".","nex_gbTut_barEventAccept:Принять [обучение наземному бою]
nex_gbTut_barEventDecline:Отклонить [пропустить обучение]",
nex_gbTut_barEventAccept,DialogOptionSelected,$option == nex_gbTut_barEventAccept,"Highlight ""some marines"" ""heavy armaments""
$global.nex_interactedWithGBTutBarEvent = true
BeginMission nex_gbTut
Call $global.nex_gbTut_ref updateData
Call $global.nex_gbTut_ref showMap ""Destination: $nex_gbTut_marketName""","""Отлично! Я знал, что на тебя можно рассчитывать.""\r\n\r\nВы просматриваете детали, которые $heOrShe отправляет на ваше устройство. Он включает в себя имя и контактные данные ""заинтересованной стороны"", а также упоминание о том, что неплохо бы взять с собой несколько морских пехотинцев. Возможно, и тяжелое вооружение.",backToBar:Вернуться в бар,
nex_gbTut_barEventDecline,DialogOptionSelected,$option == nex_gbTut_barEventDecline,$global.nex_interactedWithGBTutBarEvent = true,"Лицо агента вытягивается. ""Я понимаю"", - говорит $heOrShe самым нейтральным тоном, который $heOrShe может подобрать. ""Просто помните: у нас всегда найдется место для храбрых и способных патриотов в борьбе за свободу Сектора"".

$HeOrShe отдает честь и встает из-за стола.",backToBar:Вернуться в бар,
,,,,,,
nex_gbTut_diamondConvo1a,PickGreeting,"$id == nex_rossDiamond score:1000
Call $global.nex_gbTut_ref updateData
$nex_gbTut_stage == START",ShowPersonVisual,"На дисплее связи отображается статически искаженное изображение белокурого офицера, удивительно юношеского вида для человека со знаками отличия капитана флота Лиги.

""Кто дал вам мой идентификатор связи... а, я вижу. Вы один из тех, кто приехал сюда, чтобы 'добровольно' предложить свою помощь в кризисе? Что ж, не повезло; если ваша помощь не состоит из военного флота или батальона морской пехоты, нам это не нужно. Наши проблемы стали немного слишком большими незадолго до вашего приезда.""","nex_gbTut_diamondConvo2a:Объяснить, что это действительно тот вид помощи, который вы можете предложить",
nex_gbTut_diamondConvo1b,PickGreeting,"$id == nex_rossDiamond score:1000
Call $global.nex_gbTut_ref updateData
$nex_gbTut_stage == START
!Nex_GBTutMission isEnemyFleetAlive","$enemyFleetKilled = true 0
ShowPersonVisual","На дисплее связи отображается статически искаженное изображение белокурого офицера, удивительно юношеского вида для человека со знаками отличия капитана флота Лиги.

""Вы тот человек, который помог нам отбить этот флот вторжения. Зачем?""","nex_gbTut_diamondConvo2b:""Меня сюда послали.""",
nex_gbTut_diamondConvo2a,DialogOptionSelected,$option == nex_gbTut_diamondConvo2a,,"""Ах... да. У вас действительно боеспособный флот."" $personLastName, кажется, обдумывает это несколько мгновений.

""Ну, нищим не приходится выбирать, я думаю. Я объясню ситуацию, и тогда вы сможете помочь мне с этим.""",nex_gbTut_diamondConvo3:Продолжить,
nex_gbTut_diamondConvo2b,DialogOptionSelected,$option == nex_gbTut_diamondConvo2b,,"""А, да. Этот запрос от Флота. Я не понимал, чего они надеялись добиться таким образом, но, похоже, это работает... пока.

""Вы уже помогли нам. Я был бы признателен, если бы вы остались с нами еще немного.""",nex_gbTut_diamondConvo3:Продолжить,
nex_gbTut_diamondConvo3,DialogOptionSelected,"$option == nex_gbTut_diamondConvo3
Nex_GBTutMission isYesodAvailable score:5","Highlight ""unknown hostile party invading""","""Короткая версия такова: Неизвестная враждебная сторона вторгается на планету, и у меня нет ресурсов, чтобы с этим справиться. Все, что сейчас стоит у них на пути, - это планетарная милиция $marketName.

""В соответствии с Заганским соглашением 154 года - одним из результатов этого кровавого дела на Мазалоте - Лига должна гарантировать безопасность Ильма. С флотской базой на Йесоде это не было проблемой до сих пор. Только сейчас кто-то начал прямую атаку на планету, и я не могу связаться с присутствием Флота здесь - или за пределами системы, если уж на то пошло"".

$HeOrShe, кажется, подавляет рычание. ""Что эти идиоты делают?! Они что, специально тянут время?""",nex_gbTut_diamondConvo4:Продолжить,
nex_gbTut_diamondConvo3Alt,DialogOptionSelected,$option == nex_gbTut_diamondConvo3,"Highlight ""unknown hostile party invading""","""Короткая версия такова: Неизвестная враждебная сторона вторгается на планету, и у меня нет ресурсов, чтобы с этим справиться. Все, что сейчас стоит у них на пути, - это планетарная милиция $marketName.

""В соответствии с Заганским соглашением 154 года - одним из результатов этого кровавого дела на Мазалоте - Лига должна гарантировать безопасность Ильма. С флотской базой на Йесоде это не было проблемой до сих пор. Только сейчас у нас нет базы на Йесоде, не так ли? И я не могу связаться ни с какими дружественными силами за пределами системы.""",nex_gbTut_diamondConvo4:Продолжить,
nex_gbTut_diamondConvo4,DialogOptionSelected,$option == nex_gbTut_diamondConvo4,"$option = nex_gbTut_diamondConvoMarineCheck 0
FireBest DialogOptionSelected","""В любом случае, похоже, что вы единственный человек, на которого я могу рассчитывать. Все, что вам нужно сделать, это помочь победить наземные силы на планете и спасти $marketName. Довольно просто, правда?

""...скажите, и сколько морских пехотинцев вы привезли, кстати?""",,
nex_gbTut_diamondConvo_marinesZero,DialogOptionSelected,"$option == nex_gbTut_diamondConvoMarineCheck
$player.marines <= 0",,,"nex_gbTut_diamondConvo5:""...никто.""",
nex_gbTut_diamondConvo_marinesNonZero,DialogOptionSelected,"$option == nex_gbTut_diamondConvoMarineCheck
$player.marines > 0",,,"nex_gbTut_diamondConvo5:""$player.marines.""",
nex_gbTut_diamondConvo5Many,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5
$player.marines > 300","$option = nex_gbTut_diamondConvo5Post
FireBest DialogOptionSelected","$HisOrHer глаза, кажется, загораются. ""Это много. С такой огневой мощью мы сможем довольно быстро все изменить.

""Ваш флот также добавит много силы. Небольшая поддержка в нужном месте может творить чудеса.""",,
nex_gbTut_diamondConvo5Some,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5
$player.marines <= 300
$player.marines >= 100","$option = nex_gbTut_diamondConvo5Post
FireBest DialogOptionSelected","""Этого должно быть достаточно. Хотя это также во многом зависит от качества и оснащения войск.

""Ваш флот также добавит много мощи. Небольшая поддержка в нужном месте может творить чудеса.""",,
nex_gbTut_diamondConvo5Few,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5
$player.marines < 100","$option = nex_gbTut_diamondConvo5Post
FireBest DialogOptionSelected","""Это... не много, капитан. Не могли бы вы привести больше сил?

""Ну, ничего не поделаешь. Нам просто придется полагаться на ваш флот, чтобы восполнить разницу. Окажите поддержку войскам, которые у нас есть, и мы сможем переломить ситуацию.""",,
nex_gbTut_diamondConvo5TooFew,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5
$player.marines < 25 score:3","AddCommodity marines 40
$option = nex_gbTut_diamondConvo5Post
FireBest DialogOptionSelected","$personLastName издает раздраженный вздох.

""Я... слушайте, вот что я вам скажу. Мне только что удалось нанять взвод наемников; Я переведу их контракт на вас.

""Не забывайте, что ваш флот тоже может внести свой вклад. Окажите некоторую поддержку в нужном месте, чтобы переломить ситуацию.""",,
nex_gbTut_diamondConvo5PostWithFleet,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5Post
!$enemyFleetKilled",Call $global.nex_gbTut_ref startBattle,"""Хорошо, битва уже идет, и я должен связаться с полковником Шаддадом по поводу нашей стратегии защиты. Я подключу вас к нашей сети связи и позволю вам развертывать собственные силы по своему усмотрению.

""Я настоятельно рекомендую сначала уничтожить их флот вторжения; это причинит нам много горя, если ему будет позволено болтаться поблизости. Удачной охоты, капитан.""","nex_gbTut_diamondConvoGotoIntel:Отключить канал связи
nex_gbTut_diamondConvo6:""Можете объяснить, как это работает?""",
nex_gbTut_diamondConvo5PostWithoutFleet,DialogOptionSelected,"$option == nex_gbTut_diamondConvo5Post
$enemyFleetKilled",Call $global.nex_gbTut_ref startBattle,"""Хорошо, битва уже идет, и я должен связаться с полковником Шаддадом по поводу нашей стратегии защиты. Я подключу вас к нашей сети связи и позволю вам развертывать собственные силы по своему усмотрению.

""Уничтожение вражеского флота дало нам некоторую ценную передышку, но борьба еще далека от завершения. Удачной охоты, капитан.""","nex_gbTut_diamondConvoGotoIntel:Отключить канал связи
nex_gbTut_diamondConvo6:""Можете объяснить, как это работает?""",
nex_gbTut_diamondConvoGotoIntel,DialogOptionSelected,$option == nex_gbTut_diamondConvoGotoIntel,"EndConversation
ShowDefaultVisual
Call $global.nex_gbTut_ref openIntel",,,
